iter	Passed	Remaining
441	1251	1579
442	1253	1576
443	1256	1573
444	1259	1570
445	1261	1567
446	1264	1563
447	1266	1560
448	1268	1557
449	1271	1553
450	1273	1550
451	1276	1547
452	1278	1543
453	1280	1540
454	1283	1537
455	1285	1533
456	1287	1530
457	1290	1526
458	1293	1524
459	1296	1521
460	1298	1518
461	1300	1514
462	1303	1512
463	1306	1509
464	1309	1506
465	1312	1503
466	1314	1500
467	1317	1497
468	1319	1494
469	1322	1491
470	1324	1487
471	1327	1484
472	1329	1481
473	1332	1478
474	1335	1475
475	1337	1472
476	1339	1469
477	1342	1465
478	1344	1462
479	1347	1459
480	1349	1456
481	1352	1453
482	1354	1450
483	1357	1446
484	1359	1443
485	1361	1440
486	1364	1436
487	1366	1433
488	1368	1430
489	1371	1427
490	1373	1423
491	1375	1420
492	1378	1417
493	1381	1414
494	1383	1411
495	1385	1408
496	1388	1404
497	1390	1401
498	1393	1398
499	1395	1395
500	1397	1392
501	1400	1388
502	1402	1385
503	1404	1382
504	1406	1379
505	1409	1376
506	1411	1372
507	1414	1369
508	1416	1366
509	1419	1363
510	1421	1360
511	1424	1357
512	1426	1354
513	1428	1351
514	1431	1347
515	1433	1345
516	1436	1341
517	1439	1339
518	1441	1336
519	1444	1333
520	1446	1329
521	1448	1326
522	1451	1323
523	1453	1320
524	1456	1317
525	1459	1314
526	1461	1311
527	1464	1308
528	1466	1305
529	1469	1302
530	1471	1299
531	1473	1296
532	1476	1293
533	1479	1290
534	1481	1287
535	1484	1284
536	1486	1281
537	1489	1278
538	1491	1275
539	1493	1272
540	1496	1269
541	1498	1266
542	1501	1263
543	1503	1260
544	1506	1257
545	1508	1254
546	1511	1251
547	1513	1248
548	1516	1245
549	1519	1243
550	1522	1240
551	1524	1237
552	1527	1234
553	1530	1231
554	1532	1229
555	1535	1226
556	1538	1223
557	1540	1220
558	1542	1217
559	1545	1214
560	1547	1211
561	1550	1208
562	1552	1205
563	1555	1202
564	1558	1199
565	1560	1196
566	1563	1194
567	1565	1191
568	1568	1188
569	1571	1185
570	1573	1182
571	1576	1179
572	1578	1176
573	1581	1173
574	1583	1170
575	1585	1167
576	1588	1164
577	1590	1161
578	1593	1158
579	1595	1155
580	1598	1152
581	1600	1149
582	1603	1146
583	1606	1144
584	1608	1141
585	1611	1138
586	1613	1135
587	1616	1132
588	1618	1129
589	1621	1126
590	1623	1123
591	1626	1120
592	1628	1117
593	1631	1114
594	1633	1111
595	1636	1108
596	1638	1106
597	1641	1103
598	1643	1100
599	1645	1097
600	1648	1094
601	1650	1091
602	1653	1088
603	1655	1085
604	1658	1082
605	1660	1079
606	1663	1076
607	1665	1073
608	1667	1070
609	1670	1068
610	1673	1065
611	1675	1062
612	1678	1059
613	1680	1056
614	1683	1053
615	1686	1051
616	1688	1048
617	1690	1045
618	1693	1042
619	1695	1039
620	1698	1036
621	1700	1033
622	1703	1030
623	1705	1027
624	1707	1024
625	1710	1021
626	1713	1019
627	1715	1016
628	1718	1013
629	1720	1010
630	1723	1007
631	1725	1004
632	1728	1002
633	1730	999
634	1733	996
635	1735	993
636	1738	990
637	1740	987
638	1743	984
639	1745	981
640	1748	979
641	1750	976
642	1753	973
643	1755	970
644	1757	967
645	1760	964
646	1762	961
647	1765	958
648	1767	955
649	1769	952
650	1772	950
651	1774	947
652	1776	944
653	1779	941
654	1781	938
655	1784	935
656	1786	932
657	1789	930
658	1792	927
659	1794	924
660	1796	921
661	1799	918
662	1802	916
663	1804	913
664	1807	910
665	1809	907
666	1812	905
667	1815	902
668	1817	899
669	1820	896
670	1822	893
671	1825	890
672	1827	887
673	1830	885
674	1832	882
